timestamp,steer,throttle,brake,speed_kmh
center_2025_02_19_11_09_02_153.jpg,0,0,0,6.17E-06
center_2025_02_19_11_09_02_224.jpg,0,0,0,1.93E-05
center_2025_02_19_11_09_02_292.jpg,0,0,0,3.11E-07
center_2025_02_19_11_09_02_360.jpg,0,0,0,5.16E-06
center_2025_02_19_11_09_02_428.jpg,0,0,0,8.45E-06
center_2025_02_19_11_09_02_495.jpg,0,0,0,5.02E-07
center_2025_02_19_11_09_02_563.jpg,0,0,0,1.28E-05
center_2025_02_19_11_09_02_632.jpg,0,0,0,2.78E-06
center_2025_02_19_11_09_02_700.jpg,0,0,0,4.00E-06
center_2025_02_19_11_09_02_770.jpg,0,0.1160205,0,0.04298162
center_2025_02_19_11_09_02_840.jpg,0,0.3625785,0,0.2742191
center_2025_02_19_11_09_02_910.jpg,0,0.5389758,0,0.6038193
center_2025_02_19_11_09_02_978.jpg,0,0.7785051,0,1.23489
center_2025_02_19_11_09_03_046.jpg,0,0.963058,0,1.89939
center_2025_02_19_11_09_03_115.jpg,0,1,0,2.865424
center_2025_02_19_11_09_03_186.jpg,0,1,0,3.567892
center_2025_02_19_11_09_03_258.jpg,0,1,0,4.506902
center_2025_02_19_11_09_03_329.jpg,-0.05,1,0,5.204267
center_2025_02_19_11_09_03_397.jpg,-0.25,1,0,6.11704
center_2025_02_19_11_09_03_469.jpg,-0.4,1,0,6.784896
center_2025_02_19_11_09_03_539.jpg,-0.3450765,0.9628393,0,7.67267
center_2025_02_19_11_09_03_607.jpg,-0.1595379,0.7773007,0,8.251732
center_2025_02_19_11_09_03_677.jpg,0,0.5491998,0,8.808612
center_2025_02_19_11_09_03_744.jpg,0,0.3643264,0,9.073629
center_2025_02_19_11_09_03_810.jpg,0,0.482136,0,9.315394
center_2025_02_19_11_09_03_881.jpg,-0.05,0.7241256,0,9.832737
center_2025_02_19_11_09_03_949.jpg,-0.2,0.8964301,0,10.35943
center_2025_02_19_11_09_04_022.jpg,-0.4,1,0,11.18324
